record_id,department,data_type,field_name,original_value,standardized_value,issue_type,corrected,source_system
REC-263,HR,Personnel,gpa,RAW_1742,STD_9214,INCONSISTENT_FORMAT,N,Banner_ERP
REC-264,Library,Personnel,student_id,RAW_1962,STD_2006,MISSING_VALUE,Y,Manual_Excel
REC-265,Financial Aid,Operational,aid_amount,RAW_3976,STD_8088,OUT_OF_RANGE,Y,Legacy_DB
REC-266,HR,Financial,department_code,RAW_5538,STD_7498,MISSING_VALUE,N,Jenzabar
REC-267,Library,Personnel,enrollment_date,RAW_8318,STD_7945,INCONSISTENT_FORMAT,N,Manual_Excel
REC-268,IT Systems,Financial,aid_amount,RAW_4495,STD_6762,MISSING_VALUE,N,Manual_Excel
REC-269,IT Systems,Financial,email,RAW_6014,STD_2981,STALE_DATA,N,Jenzabar
REC-270,Admissions,Operational,gpa,RAW_9049,STD_8583,INCONSISTENT_FORMAT,N,SharePoint
REC-271,Financial Aid,Student,enrollment_date,RAW_2306,STD_2118,STALE_DATA,N,Manual_Excel
REC-272,IT Systems,Operational,aid_amount,RAW_5295,STD_8505,DUPLICATE_RECORD,Y,Jenzabar
REC-273,Library,Financial,gpa,RAW_2622,STD_8246,INCONSISTENT_FORMAT,Y,Manual_Excel
REC-274,HR,Personnel,enrollment_date,RAW_3353,STD_5270,STALE_DATA,Y,Legacy_DB
REC-275,Admissions,Financial,student_id,RAW_3449,STD_8544,INCONSISTENT_FORMAT,N,Banner_ERP
REC-276,Financial Aid,Financial,gpa,RAW_8293,STD_6386,OUT_OF_RANGE,N,Manual_Excel
REC-277,Library,Financial,student_id,RAW_1553,STD_1753,DUPLICATE_RECORD,Y,Jenzabar
REC-278,Financial Aid,Personnel,email,RAW_2485,STD_7952,OUT_OF_RANGE,N,SharePoint
REC-279,IT Systems,Financial,aid_amount,RAW_3570,STD_2485,STALE_DATA,N,SharePoint
REC-280,IT Systems,Financial,enrollment_date,RAW_3244,STD_7441,MISSING_VALUE,N,Banner_ERP
REC-281,Financial Aid,Student,aid_amount,RAW_4305,STD_8070,INCONSISTENT_FORMAT,Y,Jenzabar
REC-282,Library,Student,email,RAW_9281,STD_6756,DUPLICATE_RECORD,N,Banner_ERP
REC-283,Library,Operational,student_id,RAW_6854,STD_9358,STALE_DATA,N,Banner_ERP
REC-284,Financial Aid,Student,gpa,RAW_9466,STD_7823,DUPLICATE_RECORD,Y,Banner_ERP
REC-285,Financial Aid,Operational,enrollment_date,RAW_5433,STD_7728,OUT_OF_RANGE,Y,Banner_ERP
REC-286,IT Systems,Personnel,student_id,RAW_6290,STD_4263,STALE_DATA,Y,Legacy_DB
REC-287,Financial Aid,Financial,email,RAW_3357,STD_9498,DUPLICATE_RECORD,Y,SharePoint
REC-288,IT Systems,Financial,gpa,RAW_3147,STD_6107,MISSING_VALUE,Y,Legacy_DB
REC-289,Library,Financial,email,RAW_7248,STD_6576,MISSING_VALUE,N,Manual_Excel
REC-290,Academic Records,Personnel,department_code,RAW_6140,STD_8187,INCONSISTENT_FORMAT,Y,Banner_ERP
REC-291,Academic Records,Personnel,gpa,RAW_5939,STD_5057,DUPLICATE_RECORD,Y,Legacy_DB
REC-292,Financial Aid,Operational,aid_amount,RAW_4663,STD_8653,INCONSISTENT_FORMAT,Y,Legacy_DB
REC-293,Admissions,Student,student_id,RAW_5483,STD_2354,MISSING_VALUE,N,Banner_ERP
REC-294,IT Systems,Operational,department_code,RAW_8938,STD_4970,OUT_OF_RANGE,N,Manual_Excel
REC-295,IT Systems,Student,aid_amount,RAW_4661,STD_6266,OUT_OF_RANGE,N,Manual_Excel
REC-296,HR,Operational,enrollment_date,RAW_2104,STD_9422,DUPLICATE_RECORD,N,Manual_Excel
REC-297,HR,Student,aid_amount,RAW_9134,STD_1833,MISSING_VALUE,N,Banner_ERP
REC-298,IT Systems,Student,enrollment_date,RAW_1055,STD_2405,MISSING_VALUE,N,Legacy_DB
REC-299,Admissions,Financial,gpa,RAW_2536,STD_4696,DUPLICATE_RECORD,Y,Jenzabar
REC-300,Academic Records,Operational,gpa,RAW_3971,STD_6565,INCONSISTENT_FORMAT,Y,Jenzabar
